year,1,2,3,4,5
2010,0.010245901639344262,0.03278688524590164,0.10450819672131148,0.45286885245901637,0.39959016393442626
2011,0.09293680297397769,0.21705906650144569,0.21437422552664187,0.29037587773647255,0.1852540272614622
2012,0.12462245567957977,0.20328299409061062,0.1665134602757715,0.2303348653972423,0.2752462245567958
2013,0.046614173228346455,0.09354330708661417,0.10677165354330709,0.26740157480314963,0.48566929133858266
2014,0.0796847635726795,0.040280210157618214,0.07530647985989491,0.38353765323992994,0.4211908931698774
2015,0.27395209580838326,0.2215568862275449,0.05239520958083832,0.18712574850299402,0.26497005988023953
2016,0.19075853608668983,0.25127785728889795,0.24391739930484563,0.19914127990186056,0.11490492741770598
2017,0.14203137902559868,0.17891549683457197,0.2003853564547206,0.30085328929259564,0.17781447839251308
2018,0.0235655737704918,0.05430327868852459,0.11475409836065574,0.42315573770491804,0.38422131147540983
2019,0.08294453084499741,0.15137376879212028,0.20632452047693106,0.37791601866251945,0.18144116122343182
2020,0.13528055342044581,0.13425570074301818,0.2485267742761978,0.3576735844222393,0.1242633871380989
